,cluster_label,values
0,0,2.00884688205
1,1,2.29447735584
2,2,2.12358077281
3,3,2.20824643175
4,4,1.99636227259
5,5,1.81943093567
6,6,1.8863989049
7,7,1.81213693166
8,8,1.98132484109
9,9,2.09691845328
10,10,1.86032252785
11,11,1.96969590976
12,12,2.46581715719
13,13,2.24152721409
14,14,2.06431077811
15,15,2.15098888121
16,16,2.3128485414
17,17,1.99355384791
18,18,2.50514182467
19,19,1.84022803554
20,20,2.76337027464
21,21,2.05839104776
22,22,2.57651944129
23,23,2.21286567326
24,24,2.13058876947
25,25,1.87086145361
26,26,2.109450484
27,27,2.32550087054
28,28,2.38727469996
29,29,2.25661700533
30,30,1.91011342962
31,31,1.96214484145
32,32,2.13936069957
33,33,1.96108744717
34,34,1.68589787076
35,35,2.16600804273
36,36,2.0551184037
37,37,1.91782173246
38,38,2.25605740018
39,39,2.21729522937
40,40,1.83134664233
41,41,2.443266201
42,42,2.31296773529
43,43,2.03461061024
44,44,1.76151491173
45,45,2.14481843549
46,46,2.55919605219
47,47,2.75781260276
48,48,1.82975333172
49,49,2.43803783192
50,50,2.37241630915
51,51,2.04766410992
52,52,2.27556594647
53,53,2.11612250535
54,54,2.49726152641
55,55,2.14752612032
56,56,2.06063509178
57,57,2.46794630964
58,58,2.23913381888
59,59,1.9304879521
60,60,2.95790149003
61,61,2.10696843546
62,62,2.21043499355
63,63,2.62362395165
64,64,2.51902651298
65,65,1.90217407842
66,66,2.61022396198
67,67,2.15156776556
68,68,2.2847658362
69,69,1.99645756099
70,70,1.84873959487
71,71,2.4676207123
72,72,2.58533303279
73,73,2.13094810345
74,74,2.53561248365
75,75,2.35056944269
76,76,3.0295289259
77,77,2.15874596887
78,78,2.02149495799
79,79,1.96071583335
80,80,1.91748464995
81,81,2.45163201554
82,82,3.63064791652
