,access,income
0,0.971495364364,43255.9318011
1,2.81847644985,36966.6747587
2,1.6,33169.0
3,1.48957566496,38583.6421619
4,1.33856262455,38521.2589514
5,1.37283868458,44692.9076831
6,1.10944423298,39333.4281931
7,1.39068482105,35424.6106141
8,1.45910678949,34827.6184761
9,1.77191938372,39216.2125662
10,1.72128754673,37418.3605263
11,1.75123649147,29585.3257755
12,2.49998210121,39209.3946562
13,2.23297239133,38334.6607349
14,1.79954639169,34106.1694525
15,1.66559923276,29281.1683334
16,1.69292182384,32237.0233469
17,1.63238649353,39594.463543
18,1.66714646519,40331.7350091
19,1.7466000519,41737.1163285
20,3.1899054828,34582.5444603
21,1.93818038913,40769.3424215
22,2.18274254929,35561.0489954
23,2.15088878913,35517.5261035
24,1.76029089169,34645.8775914
25,1.46581627033,32319.8450786
26,3.06460771518,33117.9334424
27,1.63513000941,36112.4830596
28,3.0484230347,47828.908462
29,2.15932920692,48577.6029997
30,1.88698914684,49150.4993503
31,2.52262233031,31777.2278955
32,3.0245879584,51165.1412885
33,2.29151345997,35307.2435111
34,2.20755940864,38352.3658068
35,2.37042826683,45142.758642
36,2.09505301513,44229.1194983
37,1.95990150291,33574.5712103
38,3.18499414281,37697.6406453
39,1.77066531763,30059.4694014
40,3.77496179879,27985.0139234
41,3.80558860946,33737.4324752
42,3.17281834144,31080.0826215
43,3.69992518334,49909.4469085
44,4.11797220184,44178.4252202
45,4.03642067046,33406.1982854
46,3.84974037848,34012.4192892
47,3.03382691617,34621.8356966
48,3.14544764617,46726.7603866
49,4.24160974597,40951.4023637
50,4.67810325752,44901.5663828
51,4.12751532673,42450.1166779
52,3.42020425157,39150.7467323
53,4.20617366046,37358.9951701
54,3.79388752369,46946.9304566
55,4.78305968133,37183.7171577
56,3.77273815895,32492.4352146
57,5.55157797873,63742.5446287
58,5.68472821243,77090.1702242
59,4.18164743829,33885.7355371
60,,
61,5.03068189845,37066.2354346
62,2.99302130721,48168.8795686
63,4.22174458062,46807.3179719
64,4.13479804886,41305.8691779
65,4.86064300424,56254.3221144
66,6.02461107565,51521.0533543
67,3.55742661398,31202.0726734
68,4.15688282273,36883.0979023
69,4.46649989882,37959.521244
70,2.55975521176,44655.4798509
71,5.77819477967,53002.2018387
72,4.32518929042,40676.0517084
73,5.03242382074,38075.3864313
74,5.19548279622,44726.7093968
75,4.65990942522,36555.1782114
76,,
77,6.28789194483,33288.0348402
78,,
79,,
80,,
81,7.0,47796.6958254
82,6.79994733281,51939.0092
